round,upsets,winners_density,non_winners_density,advantage,relative_advantage
Total Upsets,2.0,0.0,0.002551020408163265,-0.002551020408163265,-1.0
Total Upsets,3.0,0.005,0.003979591836734694,0.0010204081632653062,0.25641025641025644
Total Upsets,4.0,0.01,0.0038775510204081634,0.006122448979591837,1.5789473684210527
Total Upsets,5.0,0.015,0.004183673469387755,0.010816326530612244,2.5853658536585367
Total Upsets,6.0,0.02,0.004897959183673469,0.015102040816326531,3.0833333333333335
Total Upsets,7.0,0.01,0.004387755102040816,0.005612244897959184,1.2790697674418607
Total Upsets,8.0,0.025,0.0064285714285714285,0.018571428571428572,2.888888888888889
Total Upsets,9.0,0.01,0.006122448979591836,0.003877551020408164,0.6333333333333334
Total Upsets,10.0,0.015,0.007959183673469388,0.007040816326530612,0.8846153846153846
Total Upsets,11.0,0.02,0.009285714285714286,0.010714285714285714,1.1538461538461537
Total Upsets,12.0,0.015,0.012857142857142857,0.0021428571428571425,0.16666666666666666
Total Upsets,13.0,0.035,0.013061224489795919,0.021938775510204084,1.6796875000000002
Total Upsets,14.0,0.04,0.01673469387755102,0.02326530612244898,1.3902439024390245
Total Upsets,15.0,0.02,0.02122448979591837,-0.0012244897959183682,-0.05769230769230773
Total Upsets,16.0,0.04,0.02163265306122449,0.018367346938775512,0.849056603773585
Total Upsets,17.0,0.055,0.022755102040816325,0.03224489795918367,1.4170403587443947
Total Upsets,18.0,0.035,0.030714285714285715,0.0042857142857142885,0.13953488372093031
Total Upsets,19.0,0.055,0.030612244897959183,0.024387755102040817,0.7966666666666667
Total Upsets,20.0,0.085,0.037959183673469385,0.04704081632653062,1.2392473118279572
Total Upsets,21.0,0.06,0.03877551020408163,0.021224489795918365,0.5473684210526315
Total Upsets,22.0,0.045,0.04224489795918367,0.002755102040816325,0.06521739130434778
Total Upsets,23.0,0.05,0.045306122448979594,0.004693877551020409,0.10360360360360361
Total Upsets,24.0,0.065,0.05040816326530612,0.014591836734693879,0.2894736842105263
Total Upsets,25.0,0.08,0.04908163265306122,0.03091836734693878,0.62993762993763
Total Upsets,26.0,0.04,0.04775510204081632,-0.007755102040816322,-0.16239316239316232
Total Upsets,27.0,0.035,0.05020408163265306,-0.015204081632653056,-0.30284552845528445
Total Upsets,28.0,0.025,0.04387755102040816,-0.01887755102040816,-0.4302325581395348
Total Upsets,29.0,0.015,0.04551020408163265,-0.03051020408163265,-0.6704035874439462
Total Upsets,30.0,0.02,0.04469387755102041,-0.02469387755102041,-0.5525114155251142
Total Upsets,31.0,0.005,0.04173469387755102,-0.036734693877551024,-0.880195599022005
Total Upsets,32.0,0.01,0.038877551020408165,-0.028877551020408163,-0.7427821522309711
Total Upsets,33.0,0.025,0.03642857142857143,-0.011428571428571427,-0.31372549019607837
Total Upsets,34.0,0.005,0.030204081632653063,-0.02520408163265306,-0.8344594594594594
Total Upsets,35.0,0.005,0.025816326530612246,-0.020816326530612245,-0.8063241106719368
Total Upsets,36.0,0.005,0.022551020408163265,-0.017551020408163264,-0.7782805429864252
Total Upsets,37.0,0.0,0.017959183673469388,-0.017959183673469388,-1.0
Total Upsets,38.0,0.0,0.013673469387755101,-0.013673469387755101,-1.0
Total Upsets,39.0,0.0,0.013775510204081633,-0.013775510204081633,-1.0
Total Upsets,40.0,0.0,0.011224489795918367,-0.011224489795918367,-1.0
Total Upsets,41.0,0.0,0.0064285714285714285,-0.0064285714285714285,-1.0
Total Upsets,42.0,0.0,0.004285714285714286,-0.004285714285714286,-1.0
Total Upsets,43.0,0.0,0.005306122448979592,-0.005306122448979592,-1.0
Total Upsets,44.0,0.0,0.003673469387755102,-0.003673469387755102,-1.0
Total Upsets,45.0,0.0,0.0022448979591836735,-0.0022448979591836735,-1.0
Total Upsets,46.0,0.0,0.001836734693877551,-0.001836734693877551,-1.0
Total Upsets,47.0,0.0,0.0009183673469387755,-0.0009183673469387755,-1.0
Total Upsets,48.0,0.0,0.0009183673469387755,-0.0009183673469387755,-1.0
Total Upsets,49.0,0.0,0.0003061224489795918,-0.0003061224489795918,-1.0
Total Upsets,50.0,0.0,0.0006122448979591836,-0.0006122448979591836,-1.0
Total Upsets,51.0,0.0,0.00010204081632653062,-0.00010204081632653062,-1.0
